cycle,avg_know,avg_att,avg_pbc,avg_moral,avg_sn,avg_int,avg_habit,participation
0,44.2542263,62.37126441,44.33966588,80.60544161,63.68284149,0,0,0
1,44.2542263,62.33032897,7.220007395,80.31711008,45.0495044,31.290358,0,2.322687681
2,44.33702112,62.34150151,6.480463692,80.03627113,37.66794608,29.68694281,0.069408913,2.177519701
3,44.39851904,62.35048133,6.53022313,79.7561683,34.50014032,29.14136385,0.127425317,2.156781418
4,44.45068117,62.35782272,6.547039549,79.47765659,33.19078079,28.88072158,0.186637364,2.343425964
5,44.51161265,62.36571379,6.628792741,79.20092365,32.63657753,28.7894292,0.249354333,2.343425964
6,44.55906879,62.37253186,6.651027656,78.92531927,32.34340061,28.7210698,0.309821778,2.571547076
7,44.61293258,62.3800749,6.755782193,78.6518627,32.27082815,28.71192277,0.376461274,2.758191622
8,44.67080204,62.38836855,6.815507025,78.38033483,32.27163281,28.70142106,0.445353663,2.67523849
9,44.71806845,62.39486432,6.854600187,78.11030752,32.30503021,28.68906818,0.509215012,3.027789299
10,44.77883331,62.40384416,6.949408664,77.84213329,32.29506436,28.67589652,0.579965873,2.944836168
11,44.83025472,62.4112287,7.013031769,77.57527737,32.29609665,28.64780541,0.648851179,2.986312733
12,44.87465184,62.41729705,7.030603592,77.3097723,32.27650714,28.61305074,0.713892476,3.110742431
13,44.91971326,62.42259854,7.086428085,77.04674391,32.4130736,28.62326742,0.781506854,3.857320614
14,44.9891959,62.43282949,7.321451488,76.78624554,32.46426805,28.67275606,0.867527112,3.172957279
15,45.03108549,62.43913727,7.195164196,76.52535326,32.37158411,28.58853315,0.929983603,3.629199502
16,45.08634944,62.44684184,7.298227301,76.26703367,32.40779633,28.61055017,1.006475168,3.649937785
17,45.13942828,62.4543121,7.336294213,76.00993939,32.39405022,28.57022642,1.077165542,3.587722937
18,45.1832161,62.46037646,7.359189563,75.75393475,32.36116771,28.51835747,1.141877551,3.712152634
19,45.23191977,62.46660664,7.388431342,75.49884576,32.24021483,28.47414049,1.212844866,3.484031522
20,45.26836594,62.47133742,7.366906985,75.2456595,32.34097434,28.44181713,1.273167637,3.919535462
21,45.31291593,62.47716721,7.46755623,74.99399039,32.29911993,28.42921758,1.343440433,3.940273745
22,45.34895676,62.48167998,7.552314012,74.74357864,32.26175407,28.40570825,1.410408689,3.629199502
23,45.37392947,62.48531316,7.504019373,74.49365661,32.18951381,28.33102146,1.465042865,4.023226877
24,45.4201314,62.49210913,7.589025257,74.24624557,32.2517269,28.34597069,1.530595663,3.981750311
25,45.45685599,62.49770304,7.590366879,73.99986957,32.24504565,28.3125559,1.593807695,3.940273745
26,45.48581747,62.50114849,7.605432417,73.75445744,32.19538797,28.26295773,1.651575782,4.272086271
27,45.5269928,62.50723708,7.678738269,73.51134603,32.25344458,28.26739339,1.716297926,4.4794691
28,45.56622095,62.51377146,7.833078065,73.26944802,32.21041253,28.26764111,1.785449008,4.168394857
29,45.59842361,62.5187113,7.7650144,73.02806304,32.14536771,28.19962313,1.8429723,4.355039403
30,45.63464017,62.52390591,7.81814544,72.78852113,32.16141983,28.17261041,1.903009929,4.375777686
31,45.66586882,62.52879474,7.865366027,72.55036598,32.18291339,28.16246595,1.960355719,4.603898797
32,45.70046246,62.53325665,7.962120321,72.31394501,32.21190423,28.15361259,2.022671864,4.790543343
33,45.73815942,62.53909923,8.050690096,72.07901499,32.21536526,28.14422935,2.091359575,4.811281626
34,45.77587002,62.54378974,8.037697279,71.84516788,32.1853142,28.10667523,2.160191476,4.645375363
35,45.80173724,62.54799767,8.050998619,71.61223424,32.16242109,28.05739118,2.219031265,4.749066777
36,45.83941338,62.55300451,8.042629311,71.38032143,32.09085669,28.00304516,2.278395079,4.520945666
37,45.8609367,62.55637928,8.003479987,71.14877265,31.97640654,27.92326739,2.33276377,4.603898797
38,45.88119885,62.55952657,8.006359093,70.91864296,31.93679541,27.89001083,2.38452807,4.583160514
39,45.89808017,62.56240084,8.015663313,70.68983183,31.94128947,27.86453105,2.434057025,4.873496474
40,45.93293173,62.56766087,8.11054351,70.46280527,31.96208509,27.86024159,2.490080701,4.894234757
41,45.95989735,62.57171187,8.153483969,70.23700419,31.96951312,27.85013427,2.54502844,4.852758192
42,45.97981975,62.57487159,8.18503227,70.01212056,31.93654859,27.81173526,2.594673958,5.143094152
43,46.01149063,62.58002386,8.290913954,69.78946012,32.01687639,27.82025499,2.654331259,5.184570718
44,46.04163896,62.58453182,8.322442707,69.56779709,32.01179152,27.79319313,2.712230578,5.267523849
45,46.06846802,62.58821428,8.403932434,69.34778988,32.06856682,27.79677603,2.768159438,5.495644961
46,46.10613847,62.59409082,8.524456669,69.12924893,32.08191899,27.80743194,2.828499443,5.433430112
47,46.13672021,62.5985491,8.518018013,68.91127315,32.00703922,27.75680108,2.883810289,5.288262132
