cycle,inc_str_info,info_inc_str,str_info_inc
0,0,0,0
1,4.209871423,4.520945666,4.4794691
2,6.345914558,7.051016176,7.382828702
3,8.004977188,8.004977188,8.295313148
4,10.03732891,9.933637495,9.518871837
5,10.94981336,11.0120282,11.05350477
6,11.0120282,11.77934467,12.38075487
7,12.50518457,12.7125674,12.8369971
8,14.35089175,13.58357528,14.43384488
9,14.47532144,14.20572377,14.7656574
10,15.42928246,15.26337619,15.94773953
11,16.61136458,16.05143094,16.50767316
12,17.54458731,16.69431771,17.56532559
13,17.04686852,17.64827872,18.47781004
14,18.41559519,18.72666943,19.68063044
15,18.58150145,18.91331398,20.19908752
16,19.22438822,19.3695562,20.36499378
17,19.9709664,19.6184156,20.92492742
18,20.05391954,19.86727499,21.27747822
19,20.67606802,21.11157196,21.36043136
20,21.7959353,21.31895479,22.95727914
21,22.79137287,22.68768146,23.62090419
22,23.10244712,22.56325176,24.61634177
23,22.91580257,23.1231854,25.01036914
24,23.2476151,23.51721277,25.65325591
25,23.7245956,24.24305268,25.59104106
26,24.49191207,24.51265035,25.77768561
27,24.65781833,24.51265035,26.37909581
28,25.63251763,25.50808793,26.66943177
29,25.94359187,26.13023642,27.51970137
30,25.77768561,26.33761925,28.2040647
31,26.23392783,27.16715056,28.82621319
32,27.04272086,27.37453339,28.9299046
33,27.0012443,27.35379511,29.03359602
34,27.64413107,27.58191622,29.48983824
35,27.7270842,28.4529241,30.0290336
36,28.14184985,28.12111157,30.5060141
37,28.47366238,29.36540854,30.67192036
38,28.9299046,29.0543343,31.06594774
39,29.57279137,29.40688511,31.56366653
40,29.42762339,29.57279137,31.79178764
41,29.82165077,29.7801742,31.60514309
42,30.19493986,30.48527582,32.62131895
43,30.69265865,30.7548735,31.97843219
44,31.02447117,31.41849855,32.97386976
45,30.81708835,31.08668602,32.84944007
46,31.27333057,31.85400249,33.26420572
47,31.4807134,31.81252592,33.5338034
48,32.06138532,32.49688926,33.69970966
49,32.12360017,32.91165491,33.88635421
50,31.60514309,33.28494401,34.73662381
51,32.24802986,32.82870178,34.2596433
52,32.18581501,33.67897138,34.48776441
53,32.74574865,33.74118623,35.31729573
54,33.09829946,34.77810037,35.15138946
55,33.47158855,34.77810037,36.18830361
56,33.69970966,35.52467856,36.54085442
57,33.6582331,35.35877229,36.93488179
58,34.30111987,36.06387391,36.99709664
59,34.28038158,35.66984654,37.12152634
60,34.81957694,36.25051846,38.09622563
61,35.04769805,36.437163,37.51555371
62,35.04769805,36.12608876,37.61924513
63,35.44172543,36.5615927,37.68145998
64,35.48320199,36.54085442,37.68145998
65,35.35877229,36.54085442,38.15844048
66,35.52467856,37.14226462,38.30360846
67,36.37494815,36.72749896,38.71837412
68,36.00165906,36.64454583,38.78058897
69,36.08461219,37.61924513,38.75985068
70,36.58233098,37.93031937,39.11240149
71,36.60306927,37.51555371,39.17461634
72,36.85192866,37.66072169,39.75528826
73,36.72749896,38.36582331,40.02488594
74,37.1630029,38.80132725,39.92119453
75,37.45333886,38.63542099,39.61012028
76,37.47407715,39.02944836,39.98340937
77,37.39112401,39.25756947,40.27374533
78,37.24595603,39.38199917,40.35669847
79,37.47407715,39.21609291,40.50186645
80,37.82662796,39.21609291,40.60555786
81,38.51099129,39.44421402,40.81294069
82,37.90958109,39.67233513,41.43508917
83,38.34508503,39.77602655,41.45582746
84,38.53172957,40.60555786,41.24844463
85,38.05474907,40.1907922,41.642472
86,38.32434674,40.21153049,41.84985483
87,38.51099129,40.97884695,41.78763998
88,38.65615927,40.77146412,41.82911655
89,38.6146827,40.66777271,41.97428453
90,39.00871008,40.68851099,42.05723766
91,39.07092493,41.06180008,42.34757362
92,38.69763584,41.20696806,42.03649938
93,39.21609291,41.06180008,42.34757362
94,38.8635421,41.642472,42.59643302
95,39.27830776,42.28535877,43.05267524
96,39.00871008,41.55951887,43.30153463
97,39.92119453,42.28535877,43.07341352
98,40.04562422,42.14019079,43.01119867
99,39.98340937,42.05723766,43.63334716
100,40.1907922,41.87059311,43.38448776
101,40.46038988,42.32683534,43.90294484
102,39.96267109,42.40978847,43.86146827
103,40.02488594,42.11945251,43.98589797
104,40.52260473,42.47200332,44.1932808
105,40.72998756,42.40978847,44.60804645
106,40.89589382,42.741601,43.90294484
107,40.95810867,42.67938615,43.90294484
108,41.1654915,43.13562837,44.1932808
109,41.06180008,43.13562837,44.69099959
110,41.28992119,43.92368312,44.42140191
111,41.43508917,43.9444214,44.0688511
112,41.43508917,43.65408544,44.37992534
113,41.58025715,43.88220655,44.73247615
114,42.16092908,43.86146827,44.89838241
115,42.16092908,43.77851514,44.83616757
116,41.82911655,43.88220655,45.04355039
117,41.74616342,44.17254251,45.06428868
118,41.74616342,43.9444214,45.68643716
119,42.05723766,44.44214019,45.5205309
120,42.14019079,44.50435504,45.29240979
121,41.72542513,44.73247615,45.62422231
122,42.01576109,44.25549564,45.54126918
123,42.14019079,44.48361676,46.05972625
124,42.16092908,44.64952302,45.68643716
125,42.55495645,45.06428868,46.18415595
126,42.67938615,45.10576524,46.43301535
127,42.94898382,44.85690585,46.53670676
128,42.55495645,45.37536292,46.99294898
129,42.96972211,45.60348403,46.41227706
130,43.0941518,44.98133555,46.93073414
131,42.92824554,45.54126918,46.57818333
132,43.40522605,45.20945666,46.74408959
133,43.15636665,45.70717545,46.93073414
134,43.17710494,45.18871837,46.95147242
135,43.11489009,45.29240979,47.20033181
136,43.40522605,45.99751141,47.03442555
137,43.19784322,45.72791373,47.46992949
138,43.19784322,45.81086686,47.01368727
139,43.38448776,46.28784737,47.49066777
140,43.52965574,45.95603484,47.65657404
141,43.17710494,46.16341767,47.17959353
142,43.90294484,46.53670676,47.67731232
143,43.86146827,46.32932393,47.73952717
144,43.86146827,46.16341767,48.00912484
145,43.92368312,46.3708005,47.55288262
146,44.25549564,46.3708005,47.49066777
147,44.6702613,46.90999585,48.05060141
148,44.73247615,46.47449191,47.96764828
149,44.37992534,46.39153878,48.00912484
150,44.13106595,46.35006221,48.07133969
151,44.9191207,46.86851929,48.15429282
152,44.52509332,46.90999585,47.96764828
153,44.71173787,46.41227706,47.76026545
154,44.6702613,47.32476151,48.2994608
155,44.93985898,46.847781,48.5483202
156,45.02281211,47.03442555,48.00912484
157,44.48361676,47.03442555,48.65201161
158,44.9191207,47.26254666,48.69348818
159,45.02281211,47.28328494,48.6727499
160,45.00207383,47.38697636,48.5483202
161,45.00207383,47.2210701,48.40315222
162,45.87308171,47.71878888,48.77644131
163,45.54126918,47.46992949,48.61053505
164,45.81086686,47.96764828,48.75570303
165,45.83160514,47.71878888,48.19576939
166,45.27167151,47.67731232,48.6727499
167,45.27167151,47.38697636,48.98382414
168,45.41683949,47.80174202,49.00456242
169,45.35462464,47.17959353,49.37785151
170,45.6449606,48.05060141,49.37785151
171,45.6449606,48.17503111,49.68892576
172,45.72791373,48.19576939,49.23268353
173,45.89381999,48.09207798,49.21194525
174,45.70717545,48.21650767,49.10825384
175,45.81086686,48.02986313,49.06677727
176,45.70717545,47.86395686,49.06677727
177,46.47449191,47.92617171,48.92160929
178,46.28784737,48.23724596,49.1497304
179,46.28784737,48.19576939,49.60597263
180,46.2463708,48.44462878,49.8755703
181,46.28784737,48.50684363,49.50228121
182,46.18415595,48.40315222,49.60597263
183,46.59892161,48.46536707,49.44006636
184,46.41227706,48.71422646,50.08295313
185,46.61965989,49.02530071,49.77187889
186,47.05516383,48.5483202,49.8755703
187,46.88925757,48.88013273,49.3985898
188,46.90999585,48.58979676,49.60597263
189,46.43301535,48.83865616,50.18664455
190,47.03442555,48.63127333,49.8755703
191,47.03442555,48.65201161,50.1244297
192,47.26254666,49.12899212,49.97926172
193,47.30402323,48.77644131,49.75114061
194,47.38697636,48.90087101,50.06221485
195,47.26254666,48.96308586,50.1244297
196,47.36623808,49.2741601,50.58067192
197,47.20033181,48.83865616,50.95396101
198,47.65657404,49.12899212,50.82953131
199,46.90999585,48.88013273,50.82953131
200,47.07590212,49.3985898,50.62214849
201,47.92617171,49.1497304,50.51845707
202,47.76026545,49.3985898,50.55993364
203,47.44919121,49.83409374,50.82953131
204,47.8224803,48.88013273,51.24429697
205,47.59435919,48.6727499,50.74657818
206,48.00912484,49.79261717,50.95396101
207,48.11281626,49.25342182,50.64288677
208,48.32019909,49.70966404,50.76731647
209,47.84321858,50.02073828,50.89174616
210,48.00912484,49.35711323,51.11986727
211,47.84321858,48.94234757,50.8502696
212,48.23724596,49.50228121,50.74657818
213,48.11281626,49.8755703,50.74657818
214,48.48610535,50.04147657,50.97469929
215,48.69348818,49.97926172,51.38946495
216,47.96764828,49.8755703,51.59684778
217,48.23724596,49.81335545,51.67980091
218,48.90087101,49.81335545,51.34798839
219,48.09207798,49.95852343,51.24429697
220,48.40315222,49.91704687,51.28577354
221,48.15429282,49.97926172,51.51389465
222,48.13355454,49.77187889,51.20282041
223,48.71422646,50.37328909,50.97469929
224,48.63127333,50.37328909,51.16134384
225,48.13355454,50.22812111,51.61758606
226,48.77644131,50.70510162,51.5761095
227,48.77644131,50.45624222,51.82496889
228,48.11281626,50.31107424,51.63832435
229,49.08751555,50.22812111,51.90792202
230,48.92160929,50.41476566,51.5761095
231,48.56905848,50.04147657,52.1775197
232,48.71422646,50.37328909,51.90792202
233,48.56905848,50.55993364,51.94939859
234,48.73496474,50.53919535,51.72127748
235,48.77644131,50.80879303,51.67980091
236,48.79717959,50.18664455,51.88718374
237,48.85939444,50.37328909,51.99087516
238,48.92160929,50.74657818,51.88718374
239,48.73496474,50.64288677,51.86644546
240,48.61053505,50.26959768,51.97013687
241,48.71422646,50.58067192,52.1775197
242,49.02530071,50.58067192,52.1775197
243,49.17046869,50.91248445,51.82496889
244,48.88013273,50.95396101,52.61302364
245,48.56905848,50.99543758,52.1775197
246,49.12899212,51.20282041,52.40564081
247,48.90087101,51.01617586,52.1775197
248,48.40315222,51.14060556,52.19825798
249,49.10825384,50.68436333,52.01161344
250,49.35711323,51.14060556,52.38490253
251,49.29489838,50.99543758,51.86644546
252,49.70966404,50.87100788,52.19825798
253,49.25342182,51.03691414,52.71671506
254,49.54375778,50.99543758,52.57154708
255,49.77187889,51.14060556,52.9033596
256,49.37785151,51.26503526,52.79966819
257,49.75114061,51.11986727,52.63376192
258,49.62671091,51.03691414,52.53007051
259,50.16590626,51.53463293,53.06926586
260,50.37328909,51.01617586,52.53007051
261,49.64744919,51.07839071,52.63376192
262,49.81335545,51.28577354,52.69597677
263,49.97926172,51.34798839,52.69597677
264,50,51.14060556,52.92409788
265,50.02073828,51.55537122,52.71671506
266,50.20738283,51.88718374,53.35960182
267,50.20738283,51.36872667,53.04852758
268,49.97926172,51.49315637,52.94483617
269,50.14516798,51.34798839,53.09000415
270,50,51.43094152,53.09000415
271,49.89630859,51.86644546,53.42181667
272,49.68892576,51.86644546,53.06926586
273,49.17046869,51.53463293,53.152219
274,49.89630859,51.36872667,53.0277893
275,50.10369141,51.30651182,53.09000415
276,50.06221485,51.61758606,52.84114475
277,50.16590626,51.65906263,52.82040647
278,49.97926172,51.61758606,52.79966819
279,50.37328909,50.91248445,53.00705102
280,49.95852343,51.43094152,53.35960182
281,49.91704687,51.92866031,53.46329324
282,50.78805475,51.86644546,53.06926586
283,51.11986727,52.13604314,53.67067607
284,50.76731647,51.97013687,53.23517213
285,50.6014102,51.55537122,53.40107839
286,50.55993364,52.11530485,53.09000415
287,50.78805475,51.86644546,53.64993779
288,50.53919535,51.86644546,53.58772294
289,50.99543758,51.76275404,53.35960182
290,50.37328909,51.65906263,53.42181667
291,50.45624222,52.3019494,53.60846122
292,50.49771879,52.11530485,53.60846122
293,50.74657818,51.99087516,53.25591041
294,50.64288677,51.92866031,53.69141435
295,50.70510162,52.4263791,53.38034011
296,50.76731647,52.32268768,53.19369556
297,50.1244297,52.26047283,53.73289092
298,50.31107424,52.01161344,54.06470344
299,50.39402737,52.03235172,53.94027375
300,50.47698051,52.3019494,53.98175031
301,51.20282041,52.28121112,53.64993779
302,51.11986727,51.78349233,53.81584405
303,51.30651182,52.38490253,53.50476981
304,50.76731647,52.75819162,54.31356284
305,50.74657818,52.50933223,54.00248859
306,50.8502696,52.3019494,53.56698465
307,50.95396101,52.03235172,53.73289092
308,51.01617586,52.4263791,54.00248859
309,50.93322273,52.7789299,54.04396516
310,50.99543758,52.82040647,53.67067607
311,51.28577354,52.57154708,54.06470344
312,50.62214849,52.38490253,53.79510577
313,50.76731647,52.63376192,54.04396516
314,50.68436333,52.36416425,54.08544173
315,50.78805475,52.63376192,54.06470344
316,51.11986727,52.53007051,54.41725425
317,51.67980091,52.50933223,54.12691829
318,51.53463293,52.65450021,54.29282455
319,51.09912899,52.53007051,54.68685193
320,51.14060556,52.59228536,54.18913314
321,51.49315637,52.84114475,54.10618001
322,51.30651182,52.63376192,54.23060971
323,50.70510162,53.00705102,54.23060971
324,50.78805475,53.29738698,54.43799253
325,50.97469929,52.69597677,54.45873082
326,51.59684778,52.26047283,54.23060971
327,51.26503526,53.0277893,54.08544173
328,51.43094152,52.98631273,54.23060971
329,51.36872667,53.19369556,54.43799253
330,51.28577354,52.88262132,54.02322688
331,51.28577354,53.21443384,54.16839486
332,51.63832435,53.17295728,54.31356284
333,51.49315637,53.00705102,54.06470344
334,51.5761095,53.13148071,54.50020738
335,51.78349233,53.27664869,54.16839486
336,51.51389465,53.06926586,54.3550394
337,51.43094152,53.25591041,54.39651597
338,51.34798839,53.00705102,54.54168395
339,51.18208212,52.7789299,54.6038988
340,51.36872667,53.152219,54.56242223
341,51.49315637,52.82040647,54.72832849
342,51.76275404,53.23517213,54.72832849
343,51.84570718,53.33886354,54.56242223
344,51.65906263,53.09000415,54.62463708
345,51.61758606,52.96557445,54.4794691
346,51.63832435,53.48403152,54.62463708
347,51.84570718,53.19369556,54.4794691
348,51.86644546,53.152219,54.4794691
349,51.59684778,53.69141435,54.52094567
350,51.86644546,53.31812526,54.58316051
351,51.59684778,53.67067607,54.85275819
352,51.78349233,53.44255496,55.10161759
353,52.32268768,53.6291995,55.14309415
354,51.5761095,53.35960182,54.93571132
355,51.36872667,53.44255496,54.83201991
356,51.26503526,53.35960182,54.68685193
357,51.86644546,53.31812526,54.74906678
358,51.26503526,53.56698465,54.62463708
359,51.80423061,53.11074243,54.83201991
360,51.92866031,53.56698465,54.54168395
361,51.82496889,53.35960182,54.64537536
362,52.28121112,53.23517213,54.81128163
363,52.21899627,53.54624637,54.87349647
364,52.1775197,53.85732061,54.89423476
365,52.15678142,53.79510577,54.97718789
366,50.87100788,53.38034011,54.29282455
367,50.6014102,53.19369556,54.37577769
368,50.10369141,53.35960182,54.02322688
369,50.43550394,53.33886354,54.04396516
370,50.29033596,53.09000415,53.81584405
371,50.78805475,53.17295728,54.00248859
372,50.64288677,53.04852758,54.16839486
373,50.66362505,53.54624637,53.73289092
374,50.7258399,53.29738698,54.00248859
375,50.43550394,53.29738698,53.79510577
376,50.64288677,53.23517213,53.98175031
377,50.24885939,53.31812526,53.69141435
378,50.6014102,53.17295728,53.94027375
379,50.43550394,53.23517213,53.91953546
380,50,53.42181667,53.40107839
381,50.87100788,53.44255496,53.60846122
382,50.53919535,53.60846122,54.10618001
383,50.51845707,53.50476981,53.98175031
384,50.49771879,53.25591041,54.00248859
385,50.6014102,53.00705102,53.91953546
386,50.45624222,53.52550809,53.42181667
387,50.62214849,53.40107839,53.71215263
388,50.49771879,52.71671506,53.35960182
389,50.33181253,53.29738698,53.81584405
390,50.55993364,53.42181667,53.46329324
391,50.37328909,53.52550809,53.13148071
392,50.43550394,53.42181667,54.16839486
393,50.47698051,53.44255496,53.91953546
394,50.37328909,53.09000415,53.7536292
395,50.29033596,53.19369556,53.56698465
396,50.62214849,52.94483617,53.7536292
397,50.68436333,52.79966819,53.71215263
398,50.37328909,53.21443384,53.54624637
399,50.41476566,53.06926586,53.98175031
400,50.68436333,53.29738698,53.00705102
401,50.7258399,53.52550809,53.79510577
402,50.76731647,53.09000415,53.89879718
403,50.53919535,52.94483617,53.79510577
404,50.53919535,52.50933223,53.7536292
405,50.82953131,52.94483617,53.54624637
406,50.78805475,52.92409788,53.52550809
407,50.35255081,52.96557445,53.6291995
408,50.35255081,52.84114475,53.35960182
409,50.49771879,52.96557445,53.56698465
410,50.35255081,53.0277893,53.31812526
411,50.6014102,53.17295728,53.67067607
412,50.08295313,52.88262132,53.50476981
413,50.31107424,53.04852758,53.42181667
414,50.43550394,53.29738698,53.33886354
415,50.7258399,53.29738698,53.52550809
416,50.45624222,53.06926586,53.81584405
417,50.08295313,53.44255496,53.94027375
418,50.70510162,53.29738698,53.52550809
419,50.68436333,53.152219,53.23517213
420,50.20738283,53.19369556,53.96101203
421,50.66362505,52.48859394,53.67067607
422,50.1244297,52.98631273,53.73289092
423,50.51845707,53.38034011,53.50476981
424,50.47698051,52.79966819,53.40107839
425,50.24885939,53.31812526,53.85732061
426,50.29033596,53.19369556,53.6291995
427,50.74657818,53.09000415,53.27664869
428,50.64288677,53.42181667,53.60846122
